gitRepository,repository,file,taskCount,taskSize,taskIdentifier,taskCoverage,maxPdgVertices,lackOfCohesion
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,17,7.24,1.94,0.06,42,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,24,18.38,3.42,0.04,33,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/parse_etc_passwd.yml,1,30.0,16.0,1.0,30,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,25,25.8,5.48,0.04,63,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat2.yml,197,22.11,3.41,0.01,67,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat3.yml,12,24.5,3.58,0.08,27,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,handlers/main.yml,18,4.94,2.0,0.06,30,0
florianutz/Ubuntu1604-CIS,Ubuntu1604-CIS,tasks/main.yml,19,7.16,0.0,0.05,4,4
florianutz/Ubuntu1604-CIS,Ubuntu1604-CIS,handlers/main.yml,5,5.4,12.2,0.2,141,4
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/main.yml,2,24.5,2.0,0.5,11,4
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/prelim.yml,43,7.91,1.28,0.02,16,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/section1.yml,72,14.94,1.42,0.01,31,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/section2.yml,37,18.95,2.54,0.03,27,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/section3.yml,48,20.38,1.69,0.02,23,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/section4.yml,34,16.68,1.29,0.03,21,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/section5.yml,47,16.55,1.66,0.02,24,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/section6.yml,33,13.03,1.39,0.03,20,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/post.yml,2,9.0,2.5,0.5,21,3
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,handlers/main.yml,15,6.6,0.47,0.07,13,0
elastic/ansible-beats,ansible-beats,tasks/beats-param-check.yml,4,4.0,1.0,0.25,10,1
elastic/ansible-beats,ansible-beats,tasks/beats-debian.yml,12,8.08,3.58,0.08,30,0
elastic/ansible-beats,ansible-beats,tasks/beats-redhat.yml,6,9.0,3.83,0.17,28,0
elastic/ansible-beats,ansible-beats,tasks/beats-config.yml,10,7.2,1.9,0.1,22,0
elastic/ansible-beats,ansible-beats,tasks/beats.yml,4,4.25,0.75,0.25,16,16
elastic/ansible-beats,ansible-beats,tasks/main.yml,4,2.75,0.25,0.25,11,11
elastic/ansible-beats,ansible-beats,handlers/main.yml,1,8.0,5.0,1.0,24,24
cloudalchemy/ansible-blackbox-exporter,ansible-blackbox-exporter,handlers/main.yml,6,4.0,1.83,0.17,16,0
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/packages/os.yml,2,6.0,2.5,0.5,19,19
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/packages/pip.yml,2,7.5,2.5,0.5,21,8
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/ansible/setup.yml,2,9.0,1.0,0.5,12,12
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/ansible/vault.yml,2,7.5,4.5,0.5,20,12
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/aws/credentials.yml,2,7.5,5.5,0.5,25,17
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/maven/setup.yml,6,8.33,5.33,0.17,35,4
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/maven/encrypt_password.yml,3,7.33,1.33,0.33,17,17
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/nodejs/npmrc.yml,1,9.0,6.0,1.0,26,26
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/env/setup.yml,2,12.0,7.5,0.5,27,11
ansible-community/ansible-consul,ansible-consul,tasks/install.yml,23,8.13,3.87,0.04,46,0
ansible-community/ansible-consul,ansible-consul,tasks/dnsmasq.yml,12,6.08,1.42,0.08,13,0
ansible-community/ansible-consul,ansible-consul,tasks/main.yml,1,17.0,2.0,1.0,15,15
ansible-community/ansible-consul,ansible-consul,tasks/services.yml,1,10.0,6.0,1.0,25,25
ansible-community/ansible-consul,ansible-consul,handlers/main.yml,5,3.0,0.2,0.2,11,0
DataDog/ansible-datadog,ansible-datadog,tasks/os-check.yml,1,5.0,1.0,1.0,9,9
DataDog/ansible-datadog,ansible-datadog,tasks/parse-version.yml,16,5.31,0.62,0.06,23,6
DataDog/ansible-datadog,ansible-datadog,tasks/pkg-debian.yml,16,6.81,3.81,0.06,43,0
DataDog/ansible-datadog,ansible-datadog,tasks/pkg-debian/install-pinned.yml,1,10.0,22.0,1.0,80,80
DataDog/ansible-datadog,ansible-datadog,tasks/pkg-redhat.yml,17,8.29,11.29,0.06,149,0
DataDog/ansible-datadog,ansible-datadog,tasks/pkg-redhat/install-pinned.yml,2,9.5,23.0,0.5,95,83
DataDog/ansible-datadog,ansible-datadog,tasks/pkg-suse.yml,9,10.22,8.22,0.11,49,0
DataDog/ansible-datadog,ansible-datadog,tasks/pkg-suse/install-pinned.yml,1,9.0,21.0,1.0,88,88
DataDog/ansible-datadog,ansible-datadog,tasks/pkg-windows.yml,13,5.46,8.69,0.08,129,0
DataDog/ansible-datadog,ansible-datadog,tasks/win_agent_version.yml,2,4.0,0.5,0.5,9,9
DataDog/ansible-datadog,ansible-datadog,tasks/pkg-windows-opts.yml,13,4.69,1.62,0.08,46,9
DataDog/ansible-datadog,ansible-datadog,tasks/agent5-linux.yml,9,7.67,7.22,0.11,60,0
DataDog/ansible-datadog,ansible-datadog,tasks/agent-linux.yml,18,7.33,3.22,0.06,68,0
DataDog/ansible-datadog,ansible-datadog,tasks/agent-win.yml,13,6.92,6.77,0.08,61,0
DataDog/ansible-datadog,ansible-datadog,tasks/integration.yml,12,5.92,3.17,0.08,37,3
DataDog/ansible-datadog,ansible-datadog,handlers/main.yml,4,3.75,5.0,0.25,65,5
HanXHX/ansible-debian-bootstrap,ansible-debian-bootstrap,handlers/main.yml,2,2.5,0.0,0.5,6,3
dokku/ansible-dokku,ansible-dokku,handlers/main.yml,1,5.0,1.0,1.0,9,9
elastic/ansible-elasticsearch,ansible-elasticsearch,handlers/main.yml,2,2.5,0.0,0.5,6,3
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/main.yml,19,7.16,0.0,0.05,4,4
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/layout.yml,4,9.0,1.25,0.25,17,17
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/user.yml,1,37.0,44.0,1.0,65,33
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/paths.yml,1,31.0,69.0,1.0,82,60
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/clone.yml,1,28.0,36.0,1.0,66,41
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/virtualenv.yml,2,10.5,89.0,0.5,69,39
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/download.yml,1,32.0,67.0,1.0,66,33
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/_inc_galaxy_version.yml,2,6.5,41.0,0.5,114,41
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/static_setup.yml,1,125.0,254.0,1.0,87,31
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/dependencies.yml,1,42.0,72.0,1.0,58,32
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/mutable_setup.yml,2,18.0,26.5,0.5,76,27
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/database.yml,1,45.0,82.0,1.0,69,47
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/client.yml,1,75.0,199.0,1.0,129,43
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/_inc_node_version.yml,2,27.5,48.5,0.5,110,31
galaxyproject/ansible-galaxy,ansible-galaxy,tasks/errordocs.yml,1,37.0,56.0,1.0,42,32
