gitRepository,repository,file,taskCount,taskSize,taskIdentifier,taskCoverage,maxPdgVertices,lackOfCohesion,verticesCount,edgesCount,edgesToVerticesRatio,globalInput,globalOutput,directFanIn,indirectFanIn,directFanOut,indirectFanOut
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,17,7.24,1.94,0.06,42,0,42,50,1.19,10,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,24,18.38,3.42,0.04,33,0,5,4,0.8,1,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/parse_etc_passwd.yml,1,30.0,16.0,1.0,30,0,27,32,1.19,7,0,0,4,0,34
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,25,25.8,5.48,0.04,63,0,13,15,1.15,4,0,0,0,0,2
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat2.yml,197,22.11,3.41,0.01,67,0,20,24,1.2,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat3.yml,12,24.5,3.58,0.08,27,0,20,23,1.15,4,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,handlers/main.yml,18,4.94,2.0,0.06,30,0,9,8,0.89,3,0,0,0,0,0
florianutz/Ubuntu1604-CIS,Ubuntu1604-CIS,tasks/main.yml,19,7.16,0.0,0.05,4,4,4,3,0.75,2,0,0,0,0,0
florianutz/Ubuntu1604-CIS,Ubuntu1604-CIS,handlers/main.yml,5,5.4,12.2,0.2,141,4,141,214,1.52,57,0,0,0,0,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/main.yml,2,24.5,2.0,0.5,11,4,10,12,1.2,2,0,0,0,0,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/prelim.yml,43,7.91,1.28,0.02,16,0,7,6,0.86,3,0,0,0,0,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/section1.yml,72,14.94,1.42,0.01,31,0,9,9,1.0,2,0,0,0,0,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/section2.yml,37,18.95,2.54,0.03,27,0,10,11,1.1,3,0,0,0,0,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/section3.yml,48,20.38,1.69,0.02,23,0,11,11,1.0,4,0,0,0,0,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/section4.yml,34,16.68,1.29,0.03,21,0,11,12,1.09,4,0,0,0,0,21
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/section5.yml,47,16.55,1.66,0.02,24,0,11,13,1.18,3,0,0,0,0,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/section6.yml,33,13.03,1.39,0.03,20,0,10,11,1.1,2,0,0,0,0,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,tasks/post.yml,2,9.0,2.5,0.5,21,3,12,13,1.08,4,0,0,0,0,0
florianutz/Ubuntu1804-CIS,Ubuntu1804-CIS,handlers/main.yml,15,6.6,0.47,0.07,13,0,7,7,1.0,3,0,0,0,0,0
elastic/ansible-beats,ansible-beats,tasks/beats-param-check.yml,4,4.0,1.0,0.25,10,1,10,11,1.1,3,0,0,0,0,0
elastic/ansible-beats,ansible-beats,tasks/beats-debian.yml,12,8.08,3.58,0.08,30,0,25,30,1.2,8,0,0,0,0,0
elastic/ansible-beats,ansible-beats,tasks/beats-redhat.yml,6,9.0,3.83,0.17,28,0,28,31,1.11,10,0,0,0,0,0
elastic/ansible-beats,ansible-beats,tasks/beats-config.yml,10,7.2,1.9,0.1,22,0,17,20,1.18,8,0,0,0,0,0
elastic/ansible-beats,ansible-beats,tasks/beats.yml,4,4.25,0.75,0.25,16,16,16,17,1.06,6,0,0,0,0,0
elastic/ansible-beats,ansible-beats,tasks/main.yml,4,2.75,0.25,0.25,11,11,11,12,1.09,2,0,0,0,0,0
elastic/ansible-beats,ansible-beats,handlers/main.yml,1,8.0,5.0,1.0,24,24,24,24,1.0,11,0,0,0,0,0
cloudalchemy/ansible-blackbox-exporter,ansible-blackbox-exporter,handlers/main.yml,6,4.0,1.83,0.17,16,0,8,7,0.88,3,0,0,0,0,0
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/packages/os.yml,2,6.0,2.5,0.5,19,19,19,21,1.11,5,0,0,0,0,0
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/packages/pip.yml,2,7.5,2.5,0.5,21,8,21,24,1.14,5,0,0,0,0,0
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/ansible/setup.yml,2,9.0,1.0,0.5,12,12,12,13,1.08,3,0,0,0,0,0
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/ansible/vault.yml,2,7.5,4.5,0.5,20,12,19,21,1.11,12,0,0,0,0,0
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/aws/credentials.yml,2,7.5,5.5,0.5,25,17,24,29,1.21,15,0,0,0,0,0
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/maven/setup.yml,6,8.33,5.33,0.17,35,4,30,35,1.17,15,0,0,0,0,0
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/maven/encrypt_password.yml,3,7.33,1.33,0.33,17,17,17,21,1.24,8,0,0,0,0,0
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/nodejs/npmrc.yml,1,9.0,6.0,1.0,26,26,26,30,1.15,13,0,0,0,0,0
wcm-io-devops/ansible-conga-ansible-controlhost,ansible-conga-ansible-controlhost,tasks/env/setup.yml,2,12.0,7.5,0.5,27,11,14,13,0.93,5,0,0,0,0,0
mattfinlayson/ansible-consul,ansible-consul,tasks/install.yml,23,8.13,3.87,0.04,46,0,24,25,1.04,14,0,0,0,0,0
mattfinlayson/ansible-consul,ansible-consul,tasks/install-ui.yml,11,6.45,4.73,0.09,47,0,15,16,1.07,6,0,0,0,0,0
mattfinlayson/ansible-consul,ansible-consul,tasks/dnsmasq.yml,12,6.08,1.42,0.08,13,0,11,13,1.18,2,0,0,0,0,0
