gitRepository,repository,file,taskId,verticesCount,edgesCount,edgesToVerticesRatio,globalInput,globalOutput,directFanIn,indirectFanIn,directFanOut,indirectFanOut
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,746,7,7,1.0,2,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,752,11,12,1.09,4,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,757,8,7,0.88,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,761,8,7,0.88,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,769,11,11,1.0,4,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,780,16,16,1.0,6,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,1180,10,9,0.9,2,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,4300,29,32,1.1,7,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,4310,25,28,1.12,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,4312,8,8,1.0,1,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/main.yml,4349,42,50,1.19,10,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,790,11,13,1.18,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,799,6,5,0.83,2,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,803,10,11,1.1,2,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,813,8,9,1.12,2,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,818,12,14,1.17,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,823,15,17,1.13,4,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,828,9,10,1.11,2,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,836,13,15,1.15,4,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,846,13,15,1.15,2,0,0,2,0,10
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,874,13,13,1.0,4,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,882,18,19,1.06,6,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,887,21,22,1.05,7,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,893,9,10,1.11,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,904,11,13,1.18,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,912,15,16,1.07,4,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,938,33,34,1.03,12,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,949,13,13,1.0,4,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,954,12,13,1.08,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,962,18,19,1.06,6,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,970,21,22,1.05,7,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,974,8,8,1.0,2,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,980,5,4,0.8,2,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,983,9,8,0.89,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,989,13,13,1.0,4,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,995,14,14,1.0,4,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,997,14,13,0.93,6,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,1006,5,4,0.8,1,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,1009,8,9,1.12,1,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,1014,10,11,1.1,1,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,1042,4,3,0.75,1,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,1044,5,4,0.8,1,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/prelim.yml,1047,5,4,0.8,1,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/parse_etc_passwd.yml,924,30,32,1.07,12,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/parse_etc_passwd.yml,2324,27,32,1.19,7,0,0,4,0,34
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1185,12,12,1.0,4,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1194,22,28,1.27,5,0,0,0,0,35
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1205,30,36,1.2,6,0,0,0,0,46
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1214,12,11,0.92,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1218,15,17,1.13,2,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1227,20,22,1.1,4,0,0,0,0,59
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1236,12,14,1.17,3,0,0,0,0,68
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1243,12,11,0.92,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1247,9,10,1.11,2,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1255,13,14,1.08,6,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1267,12,13,1.08,5,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1276,12,13,1.08,5,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1285,23,25,1.09,8,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1297,33,36,1.09,10,0,0,1,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1307,10,11,1.1,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1318,10,11,1.1,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1327,14,16,1.14,5,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1335,13,14,1.08,5,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1343,11,12,1.09,3,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1349,11,12,1.09,4,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1361,18,19,1.06,6,0,0,0,0,0
ansible-lockdown/RHEL7-STIG,RHEL7-STIG,tasks/fix-cat1.yml,1372,30,33,1.1,7,0,0,0,0,0
