Metric;Occurrences;mean_Ranked;mean_Optimal_n
delta_text_entropy;66;1.92;10.27
delta_num_tokens;62;1.77;10.27
delta_lines_code;54;2.69;10.27
delta_num_keys;46;4.15;10.27
delta_avg_task_size;34;10.35;10.27
delta_lines_blank;32;12.5;10.27
delta_num_conditions;30;16.47;10.27
delta_num_distinct_modules;30;19.7;10.27
delta_num_filters;29;27.79;10.27
delta_num_unique_names;29;14.76;10.27
delta_num_decisions;28;26.43;10.27
delta_num_parameters;28;17.93;10.27
delta_num_tasks;26;20.19;10.27
delta_lines_comment;22;34.64;10.27
delta_num_loops;20;46.2;10.27
delta_num_names_with_vars;17;59.0;10.27
delta_num_paths;17;54.12;10.27
delta_num_commands;16;56.25;10.27
delta_num_deprecated_keywords;15;90.2;10.27
delta_num_include;15;96.27;10.27
delta_num_vars;15;49.27;10.27
delta_num_external_modules;13;113.54;10.27
delta_num_file_mode;12;113.5;10.27
delta_num_file_modules;12;119.33;10.27
delta_num_include_tasks;10;166.1;10.27
delta_num_regex;10;152.4;10.27
delta_num_blocks;8;144.62;10.27
delta_num_ignore_errors;8;239.12;10.27
delta_num_import_tasks;8;278.12;10.27
delta_num_include_vars;8;219.88;10.27
delta_num_lookups;8;216.5;10.27
delta_num_roles;8;216.88;10.27
delta_num_authorized_key;7;201.43;10.27
delta_num_block_error_handling;7;191.57;10.27
delta_num_deprecated_modules;7;271.0;10.27
delta_num_fact_modules;7;282.14;10.27
delta_num_file_exists;6;331.83;10.27
delta_num_math_operations;6;307.0;10.27
delta_num_prompts;6;298.0;10.27
delta_num_include_role;5;422.6;10.27
delta_num_plays;5;362.8;10.27
delta_num_suspicious_comments;4;406.75;10.27
delta_num_import_playbook;3;840.33;10.27
delta_num_import_role;2;1354.0;10.27
delta_avg_play_size;1;2763.0;10.27
