Metric;Occurrences;mean_Ranked;mean_Optimal_n
change_set_max;54;3.28;6.45
additions;52;2.94;6.45
code_churn_count;48;5.67;6.45
additions_max;45;5.16;6.45
additions_avg;37;8.03;6.45
deletions;36;8.75;6.45
hunks_median;34;10.41;6.45
deletions_max;33;10.39;6.45
change_set_avg;32;10.22;6.45
code_churn_avg;31;11.61;6.45
code_churn_max;31;11.0;6.45
deletions_avg;25;17.72;6.45
commits_count;17;27.82;6.45
highest_contributor_experience;16;36.12;6.45
contributors_count;9;69.22;6.45
minor_contributors_count;3;268.33;6.45
