repository,classifier,mcc
PyratLabs/ansible-role-k3s,decision_tree,0.3397060101850579
anthcourtney/ansible-role-cis-amazon-linux,decision_tree,0.4119588129569557
ansible-ThoTeam/nexus3-oss,decision_tree,0.7058234851804767
automium/service-kubernetes,decision_tree,0.4798880587642138
oVirt/ovirt-ansible-hosted-engine-setup,random_forest,0.7787248835137457
riemers/ansible-gitlab-runner,random_forest,0.6067068417735618
ansistrano/deploy,decision_tree,0.486085010524646
elastic/ansible-elasticsearch,random_forest,0.7885382389585791
sensu/sensu-ansible,"decision_tree,random_forest",0.0719061397032747
cloudalchemy/ansible-grafana,decision_tree,0.7192478551523742
openstack/openstack-ansible-os_nova,decision_tree,0.6003588434077135
CSCfi/ansible-role-slurm,random_forest,0.9316243058148848
openwisp/ansible-openwisp2,random_forest,0.6932953527323458
cloudalchemy/ansible-prometheus,decision_tree,0.907279583148344
ANXS/postgresql,decision_tree,0.8347279233497362
openstack/openstack-ansible-rabbitmq_server,random_forest,0.729447484003362
galaxyproject/ansible-galaxy,random_forest,0.6975695386569667
Oefenweb/ansible-percona-server,"decision_tree,random_forest",0.9121193023787154
UnderGreen/ansible-role-mongodb,decision_tree,0.7679071474124401
ansible-community/ansible-nomad,random_forest,0.8893209575170202
openstack/openstack-ansible-os_neutron,random_forest,0.793354855965691
AlbanAndrieu/ansible-jenkins-slave,random_forest,0.3845291424612385
CoffeeITWorks/ansible_burp2_server,decision_tree,0.7374618153470492
DataDog/ansible-datadog,random_forest,0.7973866031943864
oVirt/ovirt-ansible-disaster-recovery,decision_tree,0.7325729932435014
stackbuilders/sb-debian-base,naive_bayes,0.4984560684025886
evrardjp/ansible-keepalived,decision_tree,0.9292021231703592
cloudalchemy/ansible-node-exporter,decision_tree,0.8599724278181237
HanXHX/ansible-nginx,decision_tree,0.6530046740780535
viasite-ansible/ansible-role-zsh,decision_tree,0.8137322095283193
lae/ansible-role-proxmox,random_forest,0.6225806209280038
HanXHX/ansible-debian-bootstrap,svc,0.7884519235389913
nusenu/ansible-relayor,decision_tree,0.8579703558991377
DavidWittman/ansible-redis,random_forest,0.7456081688400458
cloudalchemy/ansible-alertmanager,random_forest,0.6367841900079785
aalaesar/install_nextcloud,decision_tree,0.4795402925881359
Oefenweb/ansible-postfix,"decision_tree,random_forest",0.9705882352941176
caktus/tequila-django,random_forest,0.9416532388451714
ansible-community/ansible-vault,random_forest,0.8888888888888888
florianutz/Ubuntu1804-CIS,decision_tree,0.6547955858769935
dj-wasabi/ansible-telegraf,naive_bayes,0.5855974854032395
rvm/rvm1-ansible,random_forest,0.585439151746034
cloudalchemy/ansible-blackbox-exporter,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
tulibraries/ansible-role-airflow,naive_bayes,0.0714285714285714
idealista/mysql_role,"naive_bayes,decision_tree,random_forest",1.0
Graylog2/graylog-ansible-role,naive_bayes,0.2003229080504881
mrlesmithjr/ansible-netdata,decision_tree,0.7592592592592592
willshersystems/ansible-sshd,decision_tree,1.0
idealista/consul_role,"naive_bayes,svc,decision_tree,random_forest",0.8571428571428571
ansible-lockdown/RHEL7-STIG,decision_tree,0.6954342451879132
stone-payments/ansible-rabbitmq,"naive_bayes,decision_tree,random_forest",1.0
naftulikay/ansible-role-degoss,"decision_tree,random_forest",0.5277777777777778
CSCfi/ansible-role-users,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
mrlesmithjr/ansible-manage-lvm,"decision_tree,random_forest",0.134896800814168
cloudalchemy/ansible-pushgateway,"naive_bayes,random_forest",1.0
antoiner77/caddy-ansible,"naive_bayes,svc",0.5966019651630496
idealista/nexus-role,naive_bayes,0.133801394982387
Oefenweb/ansible-supervisor,"decision_tree,random_forest",0.8833584825126467
kibatic/ansible-traefik,random_forest,0.3846153846153846
arillso/ansible.logrotate,decision_tree,0.1666666666666666
m4rcu5nl/ansible-role-zerotier,"svc,decision_tree,random_forest",1.0
fgci-org/ansible-role-cuda,naive_bayes,0.5468481522075892
dokku/ansible-dokku,logistic,1.0
linux-system-roles/storage,"naive_bayes,logistic,svc,decision_tree,random_forest",0.0
florianutz/Ubuntu1604-CIS,"decision_tree,random_forest",0.574535599249993
idealista/java_role,random_forest,1.0
diodonfrost/ansible-role-mariadb,"naive_bayes,decision_tree,random_forest",1.0
newrelic/infrastructure-agent-ansible,"logistic,decision_tree,random_forest",0.9523809523809524
elastic/ansible-beats,decision_tree,0.5017774411235455
wcm-io-devops/ansible-conga-ansible-controlhost,random_forest,0.67700320038633
stackhpc/ansible-role-os-images,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
infOpen/ansible-role-docker,"logistic,svc,random_forest",0.0
stackhpc/ansible-role-libvirt-vm,naive_bayes,0.2182178902359924
nwoetzel/ansible-role-eclipse,"decision_tree,random_forest",0.6708203932499369
mimacom/ansible-role-bamboo,svc,1.0
AlexeySetevoi/ansible-clickhouse,"naive_bayes,svc,decision_tree,random_forest",1.0
hadret/ansible-role-containers,"naive_bayes,logistic,svc,decision_tree,random_forest",0.1220084679281462
infOpen/ansible-role-fail2ban,"naive_bayes,logistic,svc,decision_tree,random_forest",1.0
cloudalchemy/ansible-smokeping_prober,"naive_bayes,logistic,svc,decision_tree,random_forest",0.0
galaxyproject/ansible-galaxy-tools,"naive_bayes,logistic,svc,decision_tree,random_forest",0.0
