repository;classifier;mcc
PyratLabs/ansible-role-k3s;decision_tree;0,333461403
anthcourtney/ansible-role-cis-amazon-linux;random_forest;0,38033423
ansible-ThoTeam/nexus3-oss;random_forest;0,715413453
automium/service-kubernetes;random_forest;0,495792018
oVirt/ovirt-ansible-hosted-engine-setup;decision_tree;0,307628888
riemers/ansible-gitlab-runner;decision_tree;0,673908926
ansistrano/deploy;svc;0,407347421
elastic/ansible-elasticsearch;random_forest;0,79160003
sensu/sensu-ansible;random_forest;0,057679409
cloudalchemy/ansible-grafana;decision_tree;0,648721341
openstack/openstack-ansible-os_nova;decision_tree;0,530175413
CSCfi/ansible-role-slurm;decision_tree;0,925951242
openwisp/ansible-openwisp2;decision_tree;0,615756893
cloudalchemy/ansible-prometheus;decision_tree,random_forest;0,875759769
ANXS/postgresql;random_forest;0,854538242
openstack/openstack-ansible-rabbitmq_server;random_forest;0,723087147
galaxyproject/ansible-galaxy;decision_tree;0,717491566
Oefenweb/ansible-percona-server;decision_tree,random_forest;0,687494094
UnderGreen/ansible-role-mongodb;decision_tree;0,775734887
ansible-community/ansible-nomad;random_forest;0,881324986
openstack/openstack-ansible-os_neutron;random_forest;0,637434605
AlbanAndrieu/ansible-jenkins-slave;random_forest;0,380074764
CoffeeITWorks/ansible_burp2_server;decision_tree;0,744478128
DataDog/ansible-datadog;random_forest;0,797386603
oVirt/ovirt-ansible-disaster-recovery;decision_tree;0,607438167
stackbuilders/sb-debian-base;decision_tree;0,514994198
evrardjp/ansible-keepalived;random_forest;0,91767384
cloudalchemy/ansible-node-exporter;random_forest;0,859972428
HanXHX/ansible-nginx;decision_tree;0,590417334
viasite-ansible/ansible-role-zsh;random_forest;0,800682186
lae/ansible-role-proxmox;random_forest;0,648722717
HanXHX/ansible-debian-bootstrap;svc;0,69059905
nusenu/ansible-relayor;decision_tree,random_forest;0,89635369
DavidWittman/ansible-redis;decision_tree;0,759099449
cloudalchemy/ansible-alertmanager;decision_tree,random_forest;0,616205077
aalaesar/install_nextcloud;svc;0,441844705
Oefenweb/ansible-postfix;decision_tree,random_forest;0,985294118
caktus/tequila-django;random_forest;0,900850337
ansible-community/ansible-vault;random_forest;0,888888889
florianutz/Ubuntu1804-CIS;decision_tree;0,710212958
dj-wasabi/ansible-telegraf;random_forest;0,673516455
rvm/rvm1-ansible;decision_tree,random_forest;0,555052295
cloudalchemy/ansible-blackbox-exporter;naive_bayes,logistic,svc,decision_tree,random_forest;1
tulibraries/ansible-role-airflow;naive_bayes,logistic,svc,decision_tree,random_forest;0,071428571
idealista/mysql_role;naive_bayes,decision_tree,random_forest;1
Graylog2/graylog-ansible-role;logistic;0,381071643
mrlesmithjr/ansible-netdata;decision_tree;0,759259259
willshersystems/ansible-sshd;decision_tree;1
idealista/consul_role;svc,decision_tree;1
ansible-lockdown/RHEL7-STIG;decision_tree;0,629598324
stone-payments/ansible-rabbitmq;naive_bayes,decision_tree,random_forest;1
naftulikay/ansible-role-degoss;decision_tree,random_forest;0,527777778
CSCfi/ansible-role-users;naive_bayes,logistic,svc,decision_tree,random_forest;1
mrlesmithjr/ansible-manage-lvm;decision_tree;0,248554343
cloudalchemy/ansible-pushgateway;naive_bayes,decision_tree;1
antoiner77/caddy-ansible;naive_bayes,logistic,svc,random_forest;0,596601965
idealista/nexus-role;naive_bayes,logistic,svc,decision_tree,random_forest;0,133801395
Oefenweb/ansible-supervisor;decision_tree,random_forest;0,883358483
kibatic/ansible-traefik;decision_tree;0,538461538
arillso/ansible.logrotate;naive_bayes,logistic,decision_tree;0,041666667
m4rcu5nl/ansible-role-zerotier;logistic,svc,decision_tree,random_forest;1
fgci-org/ansible-role-cuda;random_forest;0,546848152
dokku/ansible-dokku;logistic;0,911374306
linux-system-roles/storage;naive_bayes,logistic,svc,decision_tree,random_forest;0
florianutz/Ubuntu1604-CIS;svc,decision_tree,random_forest;0,574535599
idealista/java_role;decision_tree,random_forest;1
diodonfrost/ansible-role-mariadb;naive_bayes,decision_tree,random_forest;1
newrelic/infrastructure-agent-ansible;logistic;0,952380952
elastic/ansible-beats;random_forest;0,456940131
wcm-io-devops/ansible-conga-ansible-controlhost;svc,random_forest;0,6770032
stackhpc/ansible-role-os-images;naive_bayes,logistic,svc,decision_tree,random_forest;1
infOpen/ansible-role-docker;decision_tree;0
stackhpc/ansible-role-libvirt-vm;naive_bayes,logistic,svc,decision_tree,random_forest;0,21821789
nwoetzel/ansible-role-eclipse;decision_tree;0,670820393
mimacom/ansible-role-bamboo;svc,decision_tree,random_forest;0,827326835
AlexeySetevoi/ansible-clickhouse;naive_bayes,logistic,svc,decision_tree,random_forest;1
hadret/ansible-role-containers;random_forest;0,455341801
infOpen/ansible-role-fail2ban;naive_bayes,logistic,svc,decision_tree,random_forest;1
cloudalchemy/ansible-smokeping_prober;naive_bayes,logistic,svc,decision_tree,random_forest;0
galaxyproject/ansible-galaxy-tools;naive_bayes,logistic,svc,decision_tree,random_forest;0
;;0,651
