repository;window_index;metric_A;best_classifier_A;metric_B;best_classifier_B;window_A_pred;window_A_true;window_A_res;window_B_pred;window_B_true;window_B_res;num_predict;A_intersection_B;A/B;B/A;Missed_both;A_intersection_B_%;A/B_%;B/A_%;Missed_both_%
PyratLabs/ansible-role-k3s;0;iac;random_forest;process;logistic;[0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1];[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1];[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0];11;5;5;0;1;45,45;45,45;0;9,09
PyratLabs/ansible-role-k3s;1;iac;random_forest;process;logistic;[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1];[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1];[1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0];11;6;4;0;1;54,55;36,36;0;9,09
PyratLabs/ansible-role-k3s;2;iac;random_forest;process;logistic;[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1];[1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0];11;6;5;0;0;54,55;45,45;0;0
PyratLabs/ansible-role-k3s;3;iac;random_forest;process;logistic;[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0];11;6;4;0;1;54,55;36,36;0;9,09
PyratLabs/ansible-role-k3s;4;iac;random_forest;process;logistic;[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0];11;6;5;0;0;54,55;45,45;0;0
PyratLabs/ansible-role-k3s;5;iac;random_forest;process;logistic;[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0];11;6;5;0;0;54,55;45,45;0;0
PyratLabs/ansible-role-k3s;6;iac;random_forest;process;logistic;[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0];11;8;3;0;0;72,73;27,27;0;0
PyratLabs/ansible-role-k3s;7;iac;random_forest;process;logistic;[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0];11;7;4;0;0;63,64;36,36;0;0
PyratLabs/ansible-role-k3s;8;iac;random_forest;process;logistic;[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1];11;8;3;0;0;72,73;27,27;0;0
PyratLabs/ansible-role-k3s;9;iac;random_forest;process;logistic;[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0];11;7;4;0;0;63,64;36,36;0;0
PyratLabs/ansible-role-k3s;10;iac;random_forest;process;logistic;[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1];12;7;4;0;1;58,33;33,33;0;8,33
PyratLabs/ansible-role-k3s;11;iac;random_forest;process;logistic;[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0];12;9;3;0;0;75;25;0;0
PyratLabs/ansible-role-k3s;12;iac;random_forest;process;logistic;[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0];12;9;3;0;0;75;25;0;0
PyratLabs/ansible-role-k3s;13;iac;random_forest;process;logistic;[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1];12;9;3;0;0;75;25;0;0
PyratLabs/ansible-role-k3s;14;iac;random_forest;process;logistic;[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0];12;8;4;0;0;66,67;33,33;0;0
PyratLabs/ansible-role-k3s;15;iac;random_forest;process;logistic;[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1];[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1];[1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1];[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1];14;6;7;0;1;42,86;50;0;7,14
PyratLabs/ansible-role-k3s;16;iac;random_forest;process;logistic;[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0];15;8;7;0;0;53,33;46,67;0;0
PyratLabs/ansible-role-k3s;17;iac;random_forest;process;logistic;[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1];[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0];15;10;4;0;1;66,67;26,67;0;6,67
PyratLabs/ansible-role-k3s;18;iac;random_forest;process;logistic;[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0];[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0];[1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1];21;15;4;1;1;71,43;19,05;4,76;4,76
PyratLabs/ansible-role-k3s;19;iac;random_forest;process;logistic;[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0];[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0];[1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0];[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0];[1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1];27;16;7;4;0;59,26;25,93;14,81;0
PyratLabs/ansible-role-k3s;20;iac;random_forest;process;logistic;[0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0];[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0];[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0];[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0];[1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1];28;19;8;1;0;67,86;28,57;3,57;0
PyratLabs/ansible-role-k3s;21;iac;random_forest;process;logistic;[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1];[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0];29;4;22;2;1;13,79;75,86;6,9;3,45
