repository;window_index;metric_A;best_classifier_A;metric_B;best_classifier_B;window_A_pred;window_A_true;window_A_res;window_B_pred;window_B_true;window_B_res;num_predict;A_intersection_B;A/B;B/A;Missed_both;A_intersection_B_%;A/B_%;B/A_%;Missed_both_%
PyratLabs/ansible-role-k3s;0;pdg;decision_tree;process;logistic;[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1];[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1];[1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1];[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0];11;5;4;0;2;45,45;36,36;0;18,18
PyratLabs/ansible-role-k3s;1;pdg;decision_tree;process;logistic;[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1];[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1];[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1];[1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0];11;6;4;0;1;54,55;36,36;0;9,09
PyratLabs/ansible-role-k3s;2;pdg;decision_tree;process;logistic;[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1];[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1];[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1];[1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0];11;6;4;0;1;54,55;36,36;0;9,09
PyratLabs/ansible-role-k3s;3;pdg;decision_tree;process;logistic;[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1];[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0];11;6;3;0;2;54,55;27,27;0;18,18
PyratLabs/ansible-role-k3s;4;pdg;decision_tree;process;logistic;[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1];[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0];11;6;3;0;2;54,55;27,27;0;18,18
PyratLabs/ansible-role-k3s;5;pdg;decision_tree;process;logistic;[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1];[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0];11;5;4;1;1;45,45;36,36;9,09;9,09
PyratLabs/ansible-role-k3s;6;pdg;decision_tree;process;logistic;[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0];11;6;3;2;0;54,55;27,27;18,18;0
PyratLabs/ansible-role-k3s;7;pdg;decision_tree;process;logistic;[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0];11;6;3;1;1;54,55;27,27;9,09;9,09
PyratLabs/ansible-role-k3s;8;pdg;decision_tree;process;logistic;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1];11;7;3;1;0;63,64;27,27;9,09;0
PyratLabs/ansible-role-k3s;9;pdg;decision_tree;process;logistic;[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1];[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0];11;7;3;0;1;63,64;27,27;0;9,09
