repository,window_index,metric_A,best_classifier_A,metric_B,best_classifier_B,window_A_pred,window_A_true,window_A_res,window_B_pred,window_B_true,window_B_res,num_predict,A_intersection_B,A/B,B/A,Missed_both,A_intersection_B_%,A/B_%,B/A_%,Missed_both_%
PyratLabs/ansible-role-k3s,0,delta,decision_tree,process,logistic,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]","[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]",11,5,0,3,3,45.45,0.0,27.27,27.27
PyratLabs/ansible-role-k3s,1,delta,decision_tree,process,logistic,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]",11,5,1,1,4,45.45,9.09,9.09,36.36
PyratLabs/ansible-role-k3s,2,delta,decision_tree,process,logistic,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0]",11,6,1,0,4,54.55,9.09,0.0,36.36
PyratLabs/ansible-role-k3s,3,delta,decision_tree,process,logistic,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]",11,6,0,0,5,54.55,0.0,0.0,45.45
PyratLabs/ansible-role-k3s,4,delta,decision_tree,process,logistic,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]",11,6,1,0,4,54.55,9.09,0.0,36.36
PyratLabs/ansible-role-k3s,5,delta,decision_tree,process,logistic,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0]",11,6,1,0,4,54.55,9.09,0.0,36.36
PyratLabs/ansible-role-k3s,6,delta,decision_tree,process,logistic,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]",11,7,0,1,3,63.64,0.0,9.09,27.27
PyratLabs/ansible-role-k3s,7,delta,decision_tree,process,logistic,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0]",11,8,0,0,3,72.73,0.0,0.0,27.27
PyratLabs/ansible-role-k3s,8,delta,decision_tree,process,logistic,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1]",11,8,1,1,1,72.73,9.09,9.09,9.09
PyratLabs/ansible-role-k3s,9,delta,decision_tree,process,logistic,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0]",11,7,0,0,4,63.64,0.0,0.0,36.36
