,count,mean,std, min,25%,50%,75%,max
roc_auc,78,0.88,0.13,0.5,0.82,0.92,0.97,1.0
std_roc_auc,78,0.11,0.08,0.0,0.03,0.11,0.16,0.37
pr_auc,78,0.76,0.24,0.06,0.63,0.82,0.94,1.0
std_pr_auc,78,0.16,0.12,0.0,0.02,0.18,0.25,0.44
precision,78,0.71,0.28,0.0,0.56,0.78,0.95,1.0
std_precision,78,0.19,0.14,0.0,0.0,0.2,0.28,0.5
recall,78,0.81,0.26,0.0,0.74,0.92,1.0,1.0
std_recall,78,0.15,0.14,0.0,0.0,0.14,0.25,0.5
f1,78,0.71,0.26,0.0,0.6,0.76,0.93,1.0
std_f1,78,0.16,0.13,0.0,0.0,0.17,0.26,0.45
mcc,78,0.66,0.29,0.0,0.5,0.7,0.92,1.0
std_mcc,78,0.2,0.16,0.0,0.0,0.21,0.3,0.67
