,count,mean,std, min,25%,50%,75%,max
roc_auc,78,0.85,0.14,0.46,0.78,0.87,0.98,1.0
std_roc_auc,78,0.12,0.1,0.0,0.04,0.12,0.17,0.46
pr_auc,78,0.74,0.25,0.06,0.59,0.78,0.97,1.0
std_pr_auc,78,0.14,0.11,0.0,0.02,0.16,0.24,0.36
precision,78,0.62,0.29,0.0,0.42,0.64,0.87,1.0
std_precision,78,0.19,0.15,0.0,0.04,0.21,0.3,0.5
recall,78,0.76,0.27,0.0,0.63,0.86,0.98,1.0
std_recall,78,0.18,0.15,0.0,0.0,0.18,0.3,0.5
f1,78,0.63,0.27,0.0,0.47,0.65,0.88,1.0
std_f1,78,0.17,0.12,0.0,0.07,0.17,0.26,0.46
mcc,78,0.55,0.3,-0.06,0.34,0.53,0.83,1.0
std_mcc,78,0.21,0.15,0.0,0.1,0.21,0.31,0.74
