,count,mean,std, min,25%,50%,75%,max
roc_auc,78,0.81,0.15,0.4,0.72,0.85,0.94,1.0
std_roc_auc,78,0.13,0.09,0.0,0.06,0.12,0.18,0.37
pr_auc,78,0.67,0.26,0.06,0.46,0.74,0.87,1.0
std_pr_auc,78,0.17,0.11,0.0,0.08,0.19,0.25,0.38
precision,78,0.54,0.29,0.0,0.32,0.53,0.77,1.0
std_precision,78,0.2,0.15,0.0,0.07,0.22,0.31,0.5
recall,78,0.8,0.23,0.0,0.74,0.9,0.98,1.0
std_recall,78,0.2,0.15,0.0,0.02,0.22,0.31,0.5
f1,78,0.57,0.26,0.0,0.36,0.56,0.77,1.0
std_f1,78,0.17,0.13,0.0,0.08,0.17,0.28,0.46
mcc,78,0.46,0.31,-0.16,0.22,0.38,0.73,1.0
std_mcc,78,0.22,0.16,0.0,0.09,0.21,0.34,0.74
