,count,mean,std, min,25%,50%,75%,max
roc_auc,78,0.89,0.13,0.49,0.86,0.94,0.99,1.0
std_roc_auc,78,0.1,0.09,0.0,0.0,0.1,0.13,0.37
pr_auc,78,0.79,0.24,0.06,0.68,0.9,0.98,1.0
std_pr_auc,78,0.13,0.11,0.0,0.0,0.13,0.21,0.4
precision,78,0.71,0.27,0.0,0.59,0.78,0.92,1.0
std_precision,78,0.21,0.15,0.0,0.1,0.22,0.31,0.5
recall,78,0.77,0.27,0.0,0.59,0.88,0.97,1.0
std_recall,78,0.18,0.15,0.0,0.0,0.18,0.3,0.5
f1,78,0.7,0.26,0.0,0.58,0.76,0.9,1.0
std_f1,78,0.19,0.13,0.0,0.07,0.2,0.28,0.46
mcc,78,0.65,0.29,-0.06,0.5,0.7,0.88,1.0
std_mcc,78,0.22,0.15,0.0,0.12,0.22,0.31,0.67
