repository,classifier,rank
PyratLabs/ansible-role-k3s,naive_bayes,4.0
PyratLabs/ansible-role-k3s,logistic,5.0
PyratLabs/ansible-role-k3s,svc,3.0
PyratLabs/ansible-role-k3s,decision_tree,1.5
PyratLabs/ansible-role-k3s,random_forest,1.5
anthcourtney/ansible-role-cis-amazon-linux,naive_bayes,4.0
anthcourtney/ansible-role-cis-amazon-linux,logistic,4.0
anthcourtney/ansible-role-cis-amazon-linux,svc,4.0
anthcourtney/ansible-role-cis-amazon-linux,decision_tree,1.5
anthcourtney/ansible-role-cis-amazon-linux,random_forest,1.5
ansible-ThoTeam/nexus3-oss,naive_bayes,4.0
ansible-ThoTeam/nexus3-oss,logistic,5.0
ansible-ThoTeam/nexus3-oss,svc,3.0
ansible-ThoTeam/nexus3-oss,decision_tree,1.0
ansible-ThoTeam/nexus3-oss,random_forest,2.0
automium/service-kubernetes,naive_bayes,3.0
automium/service-kubernetes,logistic,5.0
automium/service-kubernetes,svc,4.0
automium/service-kubernetes,decision_tree,1.0
automium/service-kubernetes,random_forest,2.0
oVirt/ovirt-ansible-hosted-engine-setup,naive_bayes,4.0
oVirt/ovirt-ansible-hosted-engine-setup,logistic,5.0
oVirt/ovirt-ansible-hosted-engine-setup,svc,3.0
oVirt/ovirt-ansible-hosted-engine-setup,decision_tree,1.5
oVirt/ovirt-ansible-hosted-engine-setup,random_forest,1.5
riemers/ansible-gitlab-runner,naive_bayes,4.0
riemers/ansible-gitlab-runner,logistic,5.0
riemers/ansible-gitlab-runner,svc,3.0
riemers/ansible-gitlab-runner,decision_tree,1.5
riemers/ansible-gitlab-runner,random_forest,1.5
ansistrano/deploy,naive_bayes,5.0
ansistrano/deploy,logistic,4.0
ansistrano/deploy,svc,2.5
ansistrano/deploy,decision_tree,1.0
ansistrano/deploy,random_forest,2.5
elastic/ansible-elasticsearch,naive_bayes,4.0
elastic/ansible-elasticsearch,logistic,5.0
elastic/ansible-elasticsearch,svc,3.0
elastic/ansible-elasticsearch,decision_tree,2.0
elastic/ansible-elasticsearch,random_forest,1.0
sensu/sensu-ansible,naive_bayes,4.0
sensu/sensu-ansible,logistic,5.0
sensu/sensu-ansible,svc,3.0
sensu/sensu-ansible,decision_tree,1.5
sensu/sensu-ansible,random_forest,1.5
cloudalchemy/ansible-grafana,naive_bayes,5.0
cloudalchemy/ansible-grafana,logistic,4.0
cloudalchemy/ansible-grafana,svc,3.0
cloudalchemy/ansible-grafana,decision_tree,1.0
cloudalchemy/ansible-grafana,random_forest,2.0
openstack/openstack-ansible-os_nova,naive_bayes,4.0
openstack/openstack-ansible-os_nova,logistic,5.0
openstack/openstack-ansible-os_nova,svc,3.0
openstack/openstack-ansible-os_nova,decision_tree,1.0
openstack/openstack-ansible-os_nova,random_forest,2.0
CSCfi/ansible-role-slurm,naive_bayes,4.0
CSCfi/ansible-role-slurm,logistic,5.0
CSCfi/ansible-role-slurm,svc,3.0
CSCfi/ansible-role-slurm,decision_tree,2.0
CSCfi/ansible-role-slurm,random_forest,1.0
openwisp/ansible-openwisp2,naive_bayes,4.0
openwisp/ansible-openwisp2,logistic,5.0
openwisp/ansible-openwisp2,svc,3.0
openwisp/ansible-openwisp2,decision_tree,1.5
openwisp/ansible-openwisp2,random_forest,1.5
cloudalchemy/ansible-prometheus,naive_bayes,5.0
cloudalchemy/ansible-prometheus,logistic,4.0
cloudalchemy/ansible-prometheus,svc,3.0
cloudalchemy/ansible-prometheus,decision_tree,1.0
cloudalchemy/ansible-prometheus,random_forest,2.0
ANXS/postgresql,naive_bayes,4.0
ANXS/postgresql,logistic,5.0
ANXS/postgresql,svc,3.0
ANXS/postgresql,decision_tree,1.5
ANXS/postgresql,random_forest,1.5
openstack/openstack-ansible-rabbitmq_server,naive_bayes,3.0
openstack/openstack-ansible-rabbitmq_server,logistic,5.0
openstack/openstack-ansible-rabbitmq_server,svc,4.0
openstack/openstack-ansible-rabbitmq_server,decision_tree,2.0
openstack/openstack-ansible-rabbitmq_server,random_forest,1.0
galaxyproject/ansible-galaxy,naive_bayes,3.0
galaxyproject/ansible-galaxy,logistic,5.0
galaxyproject/ansible-galaxy,svc,4.0
galaxyproject/ansible-galaxy,decision_tree,2.0
galaxyproject/ansible-galaxy,random_forest,1.0
Oefenweb/ansible-percona-server,naive_bayes,5.0
Oefenweb/ansible-percona-server,logistic,4.0
Oefenweb/ansible-percona-server,svc,3.0
Oefenweb/ansible-percona-server,decision_tree,1.5
Oefenweb/ansible-percona-server,random_forest,1.5
UnderGreen/ansible-role-mongodb,naive_bayes,5.0
UnderGreen/ansible-role-mongodb,logistic,4.0
UnderGreen/ansible-role-mongodb,svc,3.0
UnderGreen/ansible-role-mongodb,decision_tree,1.0
UnderGreen/ansible-role-mongodb,random_forest,2.0
ansible-community/ansible-nomad,naive_bayes,3.0
ansible-community/ansible-nomad,logistic,5.0
ansible-community/ansible-nomad,svc,4.0
ansible-community/ansible-nomad,decision_tree,1.5
ansible-community/ansible-nomad,random_forest,1.5
openstack/openstack-ansible-os_neutron,naive_bayes,3.0
openstack/openstack-ansible-os_neutron,logistic,4.5
openstack/openstack-ansible-os_neutron,svc,4.5
openstack/openstack-ansible-os_neutron,decision_tree,1.5
openstack/openstack-ansible-os_neutron,random_forest,1.5
AlbanAndrieu/ansible-jenkins-slave,naive_bayes,5.0
AlbanAndrieu/ansible-jenkins-slave,logistic,3.0
AlbanAndrieu/ansible-jenkins-slave,svc,4.0
AlbanAndrieu/ansible-jenkins-slave,decision_tree,2.0
AlbanAndrieu/ansible-jenkins-slave,random_forest,1.0
CoffeeITWorks/ansible_burp2_server,naive_bayes,5.0
CoffeeITWorks/ansible_burp2_server,logistic,4.0
CoffeeITWorks/ansible_burp2_server,svc,3.0
CoffeeITWorks/ansible_burp2_server,decision_tree,1.0
CoffeeITWorks/ansible_burp2_server,random_forest,2.0
DataDog/ansible-datadog,naive_bayes,3.0
DataDog/ansible-datadog,logistic,5.0
DataDog/ansible-datadog,svc,4.0
DataDog/ansible-datadog,decision_tree,2.0
DataDog/ansible-datadog,random_forest,1.0
oVirt/ovirt-ansible-disaster-recovery,naive_bayes,3.0
