metric,precision,recall,f1,mcc,auc-pr
pdg,0.7328175457037078,0.7602422437510716,0.7041410564058379,0.6578328770350435,0.7895843710176316
delta,0.1732163774458401,0.239349721155859,0.1689935291699123,0.05844284002728941,0.49234385510115153
iac,0.8089182353856679,0.8568513295575105,0.8145287024134824,0.7832786270481807,0.8645489782092147
process,0.21973473024070939,0.25171719992969827,0.206566553475981,0.10309883758999594,0.49157083803512835
pdg_delta,0.6363641460683451,0.6759477114236854,0.6128089929079128,0.5530018812058034,0.7514283877859087
pdg_iac,0.8086826326142187,0.8564859147968262,0.8156406323011882,0.7871403413052634,0.8644004018601826
pdg_process,0.6120959842894526,0.6522252457959845,0.5911332538081824,0.537474124444542,0.7346866999462509
delta_iac,0.758021361237499,0.8169679783469735,0.7646867205471963,0.7304154247236591,0.8419019215077428
delta_process,0.2142450413691679,0.24848560794731953,0.20234868441456583,0.0954587464955757,0.48634355132239876
iac_process,0.751111527932365,0.8073739377608561,0.7555544324684671,0.7188806932875756,0.8360608265156962
pdg_delta_iac,0.7529543508446734,0.8126544832385152,0.7599106785725402,0.7245294311070166,0.8439276713539743
pdg_delta_process,0.5853158281080771,0.6347676562011794,0.5644029760627579,0.4987593528302338,0.7207517576301534
pdg_iac_process,0.7567628397847606,0.805072522255934,0.7589532638722526,0.7254380790890081,0.8356423277888769
delta_iac_process,0.7399749669950089,0.7941616516354324,0.7430700223802608,0.7058978683878717,0.829067050497776
pdg_iac_delta_process,0.7431292362768762,0.7971054674488361,0.745609505268036,0.7099363170824191,0.8423681335122934
