,pdg,delta,iac,process,pdg_delta,pdg_iac,pdg_process,delta_iac,delta_process,iac_process,pdg_delta_iac,pdg_delta_process,pdg_iac_process,delta_iac_process,pdg_iac_delta_process
pdg,0,0.55,-0.18,0.5,0.03,-0.19,0.04,-0.16,0.5,-0.14,-0.17,0.07,-0.16,-0.13,-0.13
delta,0,0,-0.73,-0.05,-0.52,-0.74,-0.51,-0.71,-0.05,-0.69,-0.72,-0.48,-0.71,-0.68,-0.68
iac,0,0,0,0.68,0.21,-0.01,0.22,0.02,0.68,0.04,0.01,0.25,0.02,0.05,0.05
process,0,0,0,0,-0.47,-0.69,-0.46,-0.66,0.0,-0.64,-0.67,-0.43,-0.66,-0.63,-0.63
pdg_delta,0,0,0,0,0,-0.22,0.01,-0.19,0.47,-0.17,-0.2,0.04,-0.19,-0.16,-0.16
pdg_iac,0,0,0,0,0,0,0.23,0.03,0.69,0.05,0.02,0.26,0.03,0.06,0.06
pdg_process,0,0,0,0,0,0,0,-0.2,0.46,-0.18,-0.21,0.03,-0.2,-0.17,-0.17
delta_iac,0,0,0,0,0,0,0,0,0.66,0.02,-0.01,0.23,0.0,0.03,0.03
delta_process,0,0,0,0,0,0,0,0,0,-0.64,-0.67,-0.43,-0.66,-0.63,-0.63
iac_process,0,0,0,0,0,0,0,0,0,0,-0.03,0.21,-0.02,0.01,0.01
pdg_delta_iac,0,0,0,0,0,0,0,0,0,0,0,0.24,0.01,0.04,0.04
pdg_delta_process,0,0,0,0,0,0,0,0,0,0,0,0,-0.23,-0.2,-0.2
pdg_iac_process,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03
delta_iac_process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
pdg_iac_delta_process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
