,pdg,delta,iac,process,pdg_delta,pdg_iac,pdg_process,delta_iac,delta_process,iac_process,pdg_delta_iac,pdg_delta_process,pdg_iac_process,delta_iac_process,total
pdg,1.0,0.001,0.001,0.001,0.7091857379511004,0.001,0.231690725969267,0.01685089005522722,0.001,0.4118276135636657,0.001,0.013000872405335318,0.020372136556191855,0.9,0.9
delta,0.001,1.0,0.001,0.9,0.001,0.001,0.001,0.001,0.9,0.001,0.001,0.001,0.001,0.001,0.001
iac,0.001,0.001,1.0,0.001,0.001,0.9,0.001,0.6523060713672001,0.001,0.05708274451269857,0.9,0.001,0.6181771452091459,0.001,0.0018432729799865433
process,0.001,0.9,0.001,1.0,0.001,0.001,0.001,0.001,0.9,0.001,0.001,0.004812342054536178,0.001,0.001,0.001
pdg_delta,0.7091857379511004,0.001,0.001,0.001,1.0,0.001,0.9,0.001,0.001,0.001,0.001,0.9,0.001,0.08530509428189681,0.01631813301669316
pdg_iac,0.001,0.001,0.9,0.001,0.001,1.0,0.001,0.2809598865406474,0.001,0.008129797524614402,0.8513916730836761,0.001,0.2503608022521574,0.001,0.001
pdg_process,0.231690725969267,0.001,0.001,0.001,0.9,0.001,1.0,0.001,0.001,0.001,0.001,0.9,0.001,0.006844673455506878,0.001
delta_iac,0.01685089005522722,0.001,0.6523060713672001,0.001,0.001,0.2809598865406474,0.001,1.0,0.001,0.9,0.9,0.001,0.9,0.37956419317388124,0.7148745252276442
delta_process,0.001,0.9,0.001,0.9,0.001,0.001,0.001,0.001,1.0,0.001,0.001,0.004986937761314314,0.001,0.001,0.001
iac_process,0.4118276135636657,0.001,0.05708274451269857,0.001,0.001,0.008129797524614402,0.001,0.9,0.001,1.0,0.7490022460278247,0.001,0.9,0.9,0.9
pdg_delta_iac,0.001,0.001,0.9,0.001,0.001,0.8513916730836761,0.001,0.9,0.001,0.7490022460278247,1.0,0.001,0.9,0.04073160657604169,0.17321473264746523
pdg_delta_process,0.013000872405335318,0.001,0.001,0.004812342054536178,0.9,0.001,0.9,0.001,0.004986937761314314,0.001,0.001,1.0,0.001,0.001,0.001
pdg_iac_process,0.020372136556191855,0.001,0.6181771452091459,0.001,0.001,0.2503608022521574,0.001,0.9,0.001,0.9,0.9,0.001,1.0,0.41828833576122315,0.7490022460278247
delta_iac_process,0.9,0.001,0.001,0.001,0.08530509428189681,0.001,0.006844673455506878,0.37956419317388124,0.001,0.9,0.04073160657604169,0.001,0.41828833576122315,1.0,0.9
total,0.9,0.001,0.0018432729799865433,0.001,0.01631813301669316,0.001,0.001,0.7148745252276442,0.001,0.9,0.17321473264746523,0.001,0.7490022460278247,0.9,1.0
