repository,metric,rank
PyratLabs/ansible-role-k3s,pdg,4.0
PyratLabs/ansible-role-k3s,delta,1.0
PyratLabs/ansible-role-k3s,iac,14.0
PyratLabs/ansible-role-k3s,process,3.0
PyratLabs/ansible-role-k3s,pdg_delta,5.0
PyratLabs/ansible-role-k3s,pdg_iac,15.0
PyratLabs/ansible-role-k3s,pdg_process,7.0
PyratLabs/ansible-role-k3s,delta_iac,11.0
PyratLabs/ansible-role-k3s,delta_process,2.0
PyratLabs/ansible-role-k3s,iac_process,12.0
PyratLabs/ansible-role-k3s,pdg_delta_iac,13.0
PyratLabs/ansible-role-k3s,pdg_delta_process,6.0
PyratLabs/ansible-role-k3s,pdg_iac_process,10.0
PyratLabs/ansible-role-k3s,delta_iac_process,8.0
PyratLabs/ansible-role-k3s,pdg_iac_delta_process,9.0
anthcourtney/ansible-role-cis-amazon-linux,pdg,6.5
anthcourtney/ansible-role-cis-amazon-linux,delta,1.0
anthcourtney/ansible-role-cis-amazon-linux,iac,14.5
anthcourtney/ansible-role-cis-amazon-linux,process,2.0
anthcourtney/ansible-role-cis-amazon-linux,pdg_delta,6.5
anthcourtney/ansible-role-cis-amazon-linux,pdg_iac,14.5
anthcourtney/ansible-role-cis-amazon-linux,pdg_process,4.0
anthcourtney/ansible-role-cis-amazon-linux,delta_iac,12.5
anthcourtney/ansible-role-cis-amazon-linux,delta_process,3.0
anthcourtney/ansible-role-cis-amazon-linux,iac_process,10.0
anthcourtney/ansible-role-cis-amazon-linux,pdg_delta_iac,12.5
anthcourtney/ansible-role-cis-amazon-linux,pdg_delta_process,5.0
anthcourtney/ansible-role-cis-amazon-linux,pdg_iac_process,11.0
anthcourtney/ansible-role-cis-amazon-linux,delta_iac_process,8.0
anthcourtney/ansible-role-cis-amazon-linux,pdg_iac_delta_process,9.0
ansible-ThoTeam/nexus3-oss,pdg,7.0
ansible-ThoTeam/nexus3-oss,delta,3.0
ansible-ThoTeam/nexus3-oss,iac,14.5
ansible-ThoTeam/nexus3-oss,process,1.0
ansible-ThoTeam/nexus3-oss,pdg_delta,6.0
ansible-ThoTeam/nexus3-oss,pdg_iac,14.5
ansible-ThoTeam/nexus3-oss,pdg_process,4.0
ansible-ThoTeam/nexus3-oss,delta_iac,12.5
ansible-ThoTeam/nexus3-oss,delta_process,2.0
ansible-ThoTeam/nexus3-oss,iac_process,10.0
ansible-ThoTeam/nexus3-oss,pdg_delta_iac,12.5
ansible-ThoTeam/nexus3-oss,pdg_delta_process,5.0
ansible-ThoTeam/nexus3-oss,pdg_iac_process,10.0
ansible-ThoTeam/nexus3-oss,delta_iac_process,10.0
ansible-ThoTeam/nexus3-oss,pdg_iac_delta_process,8.0
automium/service-kubernetes,pdg,4.0
automium/service-kubernetes,delta,2.0
automium/service-kubernetes,iac,12.0
automium/service-kubernetes,process,3.0
automium/service-kubernetes,pdg_delta,5.0
automium/service-kubernetes,pdg_iac,15.0
automium/service-kubernetes,pdg_process,7.0
automium/service-kubernetes,delta_iac,10.0
automium/service-kubernetes,delta_process,1.0
automium/service-kubernetes,iac_process,11.0
automium/service-kubernetes,pdg_delta_iac,14.0
automium/service-kubernetes,pdg_delta_process,6.0
automium/service-kubernetes,pdg_iac_process,13.0
automium/service-kubernetes,delta_iac_process,8.0
automium/service-kubernetes,pdg_iac_delta_process,9.0
oVirt/ovirt-ansible-hosted-engine-setup,pdg,7.0
oVirt/ovirt-ansible-hosted-engine-setup,delta,1.0
oVirt/ovirt-ansible-hosted-engine-setup,iac,14.0
oVirt/ovirt-ansible-hosted-engine-setup,process,3.0
oVirt/ovirt-ansible-hosted-engine-setup,pdg_delta,6.0
oVirt/ovirt-ansible-hosted-engine-setup,pdg_iac,15.0
oVirt/ovirt-ansible-hosted-engine-setup,pdg_process,5.0
oVirt/ovirt-ansible-hosted-engine-setup,delta_iac,10.0
oVirt/ovirt-ansible-hosted-engine-setup,delta_process,2.0
oVirt/ovirt-ansible-hosted-engine-setup,iac_process,12.0
oVirt/ovirt-ansible-hosted-engine-setup,pdg_delta_iac,11.0
oVirt/ovirt-ansible-hosted-engine-setup,pdg_delta_process,4.0
oVirt/ovirt-ansible-hosted-engine-setup,pdg_iac_process,13.0
oVirt/ovirt-ansible-hosted-engine-setup,delta_iac_process,9.0
oVirt/ovirt-ansible-hosted-engine-setup,pdg_iac_delta_process,8.0
riemers/ansible-gitlab-runner,pdg,7.0
riemers/ansible-gitlab-runner,delta,2.0
riemers/ansible-gitlab-runner,iac,15.0
riemers/ansible-gitlab-runner,process,1.0
riemers/ansible-gitlab-runner,pdg_delta,6.0
riemers/ansible-gitlab-runner,pdg_iac,14.0
riemers/ansible-gitlab-runner,pdg_process,5.0
riemers/ansible-gitlab-runner,delta_iac,12.0
riemers/ansible-gitlab-runner,delta_process,3.0
riemers/ansible-gitlab-runner,iac_process,10.0
riemers/ansible-gitlab-runner,pdg_delta_iac,11.0
riemers/ansible-gitlab-runner,pdg_delta_process,4.0
riemers/ansible-gitlab-runner,pdg_iac_process,13.0
riemers/ansible-gitlab-runner,delta_iac_process,9.0
riemers/ansible-gitlab-runner,pdg_iac_delta_process,8.0
ansistrano/deploy,pdg,7.0
ansistrano/deploy,delta,3.0
ansistrano/deploy,iac,14.0
ansistrano/deploy,process,2.0
ansistrano/deploy,pdg_delta,6.0
ansistrano/deploy,pdg_iac,15.0
ansistrano/deploy,pdg_process,5.0
ansistrano/deploy,delta_iac,9.0
ansistrano/deploy,delta_process,1.0
ansistrano/deploy,iac_process,10.0
ansistrano/deploy,pdg_delta_iac,12.0
ansistrano/deploy,pdg_delta_process,4.0
ansistrano/deploy,pdg_iac_process,13.0
ansistrano/deploy,delta_iac_process,8.0
ansistrano/deploy,pdg_iac_delta_process,11.0
elastic/ansible-elasticsearch,pdg,12.0
elastic/ansible-elasticsearch,delta,2.0
elastic/ansible-elasticsearch,iac,15.0
elastic/ansible-elasticsearch,process,1.0
elastic/ansible-elasticsearch,pdg_delta,5.0
elastic/ansible-elasticsearch,pdg_iac,14.0
elastic/ansible-elasticsearch,pdg_process,6.0
elastic/ansible-elasticsearch,delta_iac,10.0
elastic/ansible-elasticsearch,delta_process,3.0
elastic/ansible-elasticsearch,iac_process,8.0
elastic/ansible-elasticsearch,pdg_delta_iac,13.0
elastic/ansible-elasticsearch,pdg_delta_process,7.0
elastic/ansible-elasticsearch,pdg_iac_process,9.0
elastic/ansible-elasticsearch,delta_iac_process,4.0
elastic/ansible-elasticsearch,pdg_iac_delta_process,11.0
