,pdg,delta,iac,process,pdg_delta,pdg_iac,pdg_process,delta_iac,delta_process,iac_process,pdg_delta_iac,pdg_delta_process,pdg_iac_process,delta_iac_process,pdg_iac_delta_process
pdg,,2.6244159632244717,-0.46275934633280813,2.258161079592304,0.3426672846476242,-0.47758287306545644,0.4069300490909521,-0.2531998906325132,2.277159343200926,-0.2135621812810581,-0.22807634077913772,0.5242089322333326,-0.23420773534841047,-0.16827276572858352,-0.17983615992713844
delta,,,-3.7426986476256507,-0.2860633605783752,-2.0604427955754914,-3.771586664702432,-2.1108085992573624,-3.126440033027793,-0.23405292202484143,-3.0882371733265432,-2.992716041739017,-1.8589204188635071,-3.0654570841838362,-3.0316537523433067,-2.9747885858453595
iac,,,,3.1820116496318893,0.8196208235052352,-0.01594544771272761,0.9108479270676326,0.20344135246675468,3.1953434979212516,0.2486834905190504,0.2206985448794426,1.0224891319005938,0.22072935235248545,0.299096344605787,0.27863110516637885
process,,,,,-1.7539322633813685,-3.206320331463585,-1.7779533173382365,-2.6900556352181053,0.041931932273033004,-2.651868333220688,-2.586540433005613,-1.5604357540872753,-2.6410037662634904,-2.598956713872657,-2.5609559736907648
pdg_delta,,,,,,-0.8343056918280665,0.05093620564166287,-0.5993395759670691,1.7750626102241536,-0.5618543455818074,-0.5687140759145826,0.17368399071649213,-0.5787492787581037,-0.5182495909673902,-0.5248900192024473
pdg_iac,,,,,,,0.926288962895386,0.21859089328132544,3.2194648612494263,0.26394621786251093,0.2355011148120445,1.0375588005903296,0.23577167846196762,0.3144406649587269,0.2936789131246068
pdg_process,,,,,,,,-0.6757803425862076,1.7995558074640987,-0.6371859481477437,-0.642136443888176,0.12803931891398299,-0.6537633444985418,-0.5920384864546393,-0.5976082763675428
delta_iac,,,,,,,,,2.7068581647418597,0.041910689709661615,0.02086894597049165,0.7893969735866102,0.01789584015586977,0.08915615377858704,0.07333834547984988
delta_process,,,,,,,,,,-2.668900284521315,-2.603874028900215,-1.5826706759597962,-2.6580765704868994,-2.616303572893109,-2.578472892470093
iac_process,,,,,,,,,,,-0.020086095538642053,0.7521088016414542,-0.023647451809496935,0.047355729287414876,0.03212618024179636
pdg_delta_iac,,,,,,,,,,,,0.7548359690142775,-0.003198656398191365,0.06630329698727333,0.0511749253126056
pdg_delta_process,,,,,,,,,,,,,-0.7673425752999475,-0.7082635495546568,-0.7123396291820129
pdg_iac_process,,,,,,,,,,,,,,0.0705235800044163,0.05510995378790203
delta_iac_process,,,,,,,,,,,,,,,-0.014516846473992406
pdg_iac_delta_process,,,,,,,,,,,,,,,
