,pdg,delta,iac,process,pdg_delta,pdg_iac,pdg_process,delta_iac,delta_process,iac_process,pdg_delta_iac,pdg_delta_process,pdg_iac_process,delta_iac_process,pdg_iac_delta_process
pdg,,2.379244030119231,-0.7067386958481917,2.034405370648527,0.12933673082492372,-0.752767610549548,0.1594558914131567,-0.6012339288260081,2.0277970559239065,-0.5314955941356525,-0.6391977105194894,0.2628864057944922,-0.5841518838941361,-0.4827536031415902,-0.47064279833923023
delta,,,-4.371626021684135,-0.2786291214574633,-2.216756048395687,-4.502623080699951,-2.349183920452844,-3.8638939367925524,-0.29894598923474147,-3.746856532456942,-3.960147392198556,-2.1690410947014453,-3.9243342083208934,-3.601330473531222,-3.5329210471367274
iac,,,,3.6042147782386658,0.8613939848489053,-0.053880384571742684,0.9445292047413533,0.09443587961787658,3.6050263311324686,0.18018065926355922,0.051613428879732796,1.0570579235677005,0.1270127537832656,0.23051358375247216,0.2379261003595409
process,,,,,-1.8822603508832254,-3.7024249287899624,-1.9719013289436187,-3.244948648085454,-0.01618095083406914,-3.1441703465664714,-3.320770434117346,-1.8140506777879062,-3.2777069874565092,-3.031739548423915,-2.9821900372914607
pdg_delta,,,,,,-0.9085520189568856,0.024611700062385854,-0.7489425251911019,1.875240902520066,-0.6787386577694746,-0.787826834979684,0.12953186427219426,-0.7335960095797316,-0.6282493925143396,-0.6149493981623766
pdg_iac,,,,,,,0.9956800162723164,0.14537856022031603,3.703914266447368,0.23175990482622025,0.10261677059153933,1.108175731111191,0.1793008194116844,0.2816012330480573,0.2884053851538068
pdg_process,,,,,,,,-0.8193463035726836,1.9650493654885557,-0.7449106224885332,-0.8611654455416489,0.11000028760442299,-0.8045814892973754,-0.6903802770402651,-0.675525744345105
delta_iac,,,,,,,,,3.2431438357781706,0.0808360588475168,-0.040958933371009705,0.928836997946289,0.02881004195412904,0.1299320542398181,0.1381873099087096
delta_process,,,,,,,,,,-3.1419241099014497,-3.319380779369289,-1.8067470771022172,-3.27626178621486,-3.028884126225983,-2.9790419631512988
iac_process,,,,,,,,,,,-0.12230910610795505,0.8551249419714186,-0.0534713004281549,0.050203298145461726,0.05931330524766329
pdg_delta_iac,,,,,,,,,,,,0.9707141538768987,0.07070978268743361,0.17111730598750607,0.1789618380307068
pdg_delta_process,,,,,,,,,,,,,-0.915540819239959,-0.8000656952304279,-0.7845253212890487
pdg_iac_process,,,,,,,,,,,,,,0.10378094533494027,0.11244141776433646
delta_iac_process,,,,,,,,,,,,,,,0.009518542468140004
pdg_iac_delta_process,,,,,,,,,,,,,,,
