,pdg,delta,iac,process,pdg_delta,pdg_iac,pdg_process,delta_iac,delta_process,iac_process,pdg_delta_iac,pdg_delta_process,pdg_iac_process,delta_iac_process,pdg_iac_delta_process
pdg,,Large,Negligible,Large,Negligible,Negligible,Negligible,Negligible,Large,Negligible,Negligible,Small,Negligible,Negligible,Negligible
delta,,,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible
iac,,,,Large,Large,Negligible,Large,Negligible,Large,Negligible,Negligible,Large,Negligible,Small,Small
process,,,,,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible
pdg_delta,,,,,,Negligible,Negligible,Negligible,Large,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible
pdg_iac,,,,,,,Large,Negligible,Large,Small,Negligible,Large,Negligible,Small,Small
pdg_process,,,,,,,,Negligible,Large,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible
delta_iac,,,,,,,,,Large,Negligible,Negligible,Large,Negligible,Negligible,Negligible
delta_process,,,,,,,,,,Negligible,Negligible,Negligible,Negligible,Negligible,Negligible
iac_process,,,,,,,,,,,Negligible,Large,Negligible,Negligible,Negligible
pdg_delta_iac,,,,,,,,,,,,Large,Negligible,Negligible,Negligible
pdg_delta_process,,,,,,,,,,,,,Negligible,Negligible,Negligible
pdg_iac_process,,,,,,,,,,,,,,Negligible,Negligible
delta_iac_process,,,,,,,,,,,,,,,Negligible
pdg_iac_delta_process,,,,,,,,,,,,,,,
