,pdg,delta,iac,process,pdg_delta,pdg_iac,pdg_process,delta_iac,delta_process,iac_process,pdg_delta_iac,pdg_delta_process,pdg_iac_process,delta_iac_process,pdg_iac_delta_process
pdg,,2.5567869092608566e-14,2.5567869092608566e-14,2.972900645619554e-05,2.972900645619554e-05,8.542170798708852e-14,8.542170798708852e-14,3.3279008684912386e-10,3.3279008684912386e-10,4.456401590361214e-06,4.456401590361214e-06,1.0690235046439386e-08,1.0690235046439386e-08,0.004331693179879238,0.004331693179879238
delta,,,4.6060137806451243e-14,4.6060137806451243e-14,0.027426046460921828,0.027426046460921828,0.003559891537416582,0.003559891537416582,3.2251569767713234e-11,3.2251569767713234e-11,0.011756504055904627,0.011756504055904627,0.09412945784586403,0.09412945784586403,0.035390691416588044
iac,,,,0.035390691416588044,2.5567869092608566e-14,2.5567869092608566e-14,0.004708035686410514,0.004708035686410514,7.896101012212519e-14,7.896101012212519e-14,2.5567869092608566e-14,2.5567869092608566e-14,6.45996655225217e-14,6.45996655225217e-14,3.749047125809258e-14
process,,,,,3.749047125809258e-14,0.006054130698337229,0.006054130698337229,3.749047125809258e-14,3.749047125809258e-14,3.903322387351798e-14,3.903322387351798e-14,1.3681977725584531e-13,1.3681977725584531e-13,3.749047125809258e-14,3.749047125809258e-14
pdg_delta,,,,,,3.749047125809258e-14,3.749047125809258e-14,3.901420363354178e-14,3.901420363354178e-14,2.5589761353756904e-14,2.5589761353756904e-14,8.427358579509804e-11,8.427358579509804e-11,0.6370665686968611,0.6370665686968611
pdg_iac,,,,,,,4.4643927903923175e-12,4.4643927903923175e-12,4.072240796747208e-07,4.072240796747208e-07,2.5592194906218512e-14,2.5592194906218512e-14,9.335714824741924e-08,9.335714824741924e-08,8.932779963634425e-06
pdg_process,,,,,,,,8.932779963634425e-06,9.06045517108172e-13,9.06045517108172e-13,8.098040242725501e-06,8.098040242725501e-06,3.4659709917084305e-09,3.4659709917084305e-09,9.648197241125074e-08
delta_iac,,,,,,,,,9.648197241125074e-08,4.0618777888515716e-13,4.0618777888515716e-13,2.558732801714298e-14,2.558732801714298e-14,2.312755189326815e-13,2.312755189326815e-13
delta_process,,,,,,,,,,3.751243468115723e-14,3.751243468115723e-14,0.6277906115868532,0.6277906115868532,3.751243468115723e-14,3.751243468115723e-14
iac_process,,,,,,,,,,,4.577753713270348e-14,4.577753713270348e-14,2.357760318221436e-12,2.357760318221436e-12,3.751243468115723e-14
pdg_delta_iac,,,,,,,,,,,,3.751243468115723e-14,3.751243468115723e-14,3.751243468115723e-14,3.9037028958214134e-14
pdg_delta_process,,,,,,,,,,,,,3.9037028958214134e-14,7.763000019837195e-11,7.763000019837195e-11
pdg_iac_process,,,,,,,,,,,,,,0.15163949371302582,0.15163949371302582
delta_iac_process,,,,,,,,,,,,,,,2.328355925017782e-10
pdg_iac_delta_process,,,,,,,,,,,,,,,
