,pdg,delta,iac,process,pdg_delta,pdg_iac,pdg_process,delta_iac,delta_process,iac_process,pdg_delta_iac,pdg_delta_process,pdg_iac_process,delta_iac_process,pdg_iac_delta_process
pdg,,4.5631293139490006e-14,4.5631293139490006e-14,1.832537747428378e-09,1.832537747428378e-09,1.0870206252784835e-13,1.0870206252784835e-13,2.7101659164283873e-06,2.7101659164283873e-06,2.076987198573687e-10,2.076987198573687e-10,1.2869841659430458e-06,1.2869841659430458e-06,1.0409692267564665e-07,1.0409692267564665e-07
delta,,,1.17767056261077e-13,1.17767056261077e-13,2.757275657262687e-06,2.757275657262687e-06,2.9282232595195364e-09,2.9282232595195364e-09,3.191703315803149e-08,3.191703315803149e-08,2.73953889181336e-08,2.73953889181336e-08,2.0364080663907042e-05,2.0364080663907042e-05,5.428609584907597e-06
iac,,,,5.428609584907597e-06,1.6684924180816334e-14,1.6684924180816334e-14,0.0046720772306361015,0.0046720772306361015,6.97786672740702e-14,6.97786672740702e-14,1.6619987713076813e-14,1.6619987713076813e-14,3.745389218168726e-14,3.745389218168726e-14,2.4348411461650256e-14
process,,,,,2.4348411461650256e-14,0.0006806615685495657,0.0006806615685495657,2.4422758866184815e-14,2.4422758866184815e-14,2.434609151090979e-14,2.434609151090979e-14,4.2205576441152234e-14,4.2205576441152234e-14,2.4429739782223536e-14,2.4429739782223536e-14
pdg_delta,,,,,,2.443206716785832e-14,2.443206716785832e-14,3.586015252204332e-14,3.586015252204332e-14,2.4593157225898602e-14,2.4593157225898602e-14,1.7232511320867715e-11,1.7232511320867715e-11,0.034116533191545916,0.034116533191545916
pdg_iac,,,,,,,1.34100263566996e-12,1.34100263566996e-12,1.7431148498267101e-06,1.7431148498267101e-06,2.455805359519135e-14,2.455805359519135e-14,1.9690896548298294e-07,1.9690896548298294e-07,0.005136699486151982
pdg_process,,,,,,,,0.005136699486151982,9.130240044948297e-13,9.130240044948297e-13,4.015698150331234e-06,4.015698150331234e-06,2.6082876195100152e-08,2.6082876195100152e-08,1.5918251615893572e-07
delta_iac,,,,,,,,,1.5918251615893572e-07,2.688599455377594e-13,2.688599455377594e-13,2.4569749608585177e-14,2.4569749608585177e-14,9.87216036563263e-14,9.87216036563263e-14
delta_process,,,,,,,,,,3.598658438615109e-14,3.598658438615109e-14,0.9781531274975456,0.9781531274975456,5.269254472357674e-14,5.269254472357674e-14
iac_process,,,,,,,,,,,3.5983066787306154e-14,3.5983066787306154e-14,1.6835739464995043e-13,1.6835739464995043e-13,3.602529913121729e-14
pdg_delta_iac,,,,,,,,,,,,3.602529913121729e-14,5.2697834274366376e-14,5.2697834274366376e-14,7.723967908160692e-14
pdg_delta_process,,,,,,,,,,,,,7.723967908160692e-14,4.890203016698258e-12,4.890203016698258e-12
pdg_iac_process,,,,,,,,,,,,,,0.12164922651885655,0.12164922651885655
delta_iac_process,,,,,,,,,,,,,,,1.1942075166154476e-10
pdg_iac_delta_process,,,,,,,,,,,,,,,
